"Editing Card:","Kaart bewerken:"
"Contact Information","Contact Informatie"
"Card Information","Card Information"
"Select Card","Select Card"
"Continue using card %s","Doorgaan met behulp van kaart% s"
"Update credit card details","Update credit card gegevens"
"Credit Card Type","Credit Card Type"
"Credit Card Number","Creditcardnummer"
"Expiration Date","Vervaldatum"
"Card Verification Number","Kaart Verificatie Nummer"
"Save Card","Sparen"
"Add New Card","Nieuwe kaart toevoegen"
"My Saved Credit Cards","Mijn opgeslagen Credit Cards"
"Card #","Card #"
"Card Info","Card Info"
"Are you sure want to delete credit card details?","Weet u zeker wilt credit card gegevens wissen?"
"You do not have any saved credit cards.","Je hebt geen opgeslagen creditcards."
"Select From Saved Card","Kies Van Saved Kaart"
"Use other card","Gebruik andere kaart"
"For your convenience","Voor uw gemak"
"--Please Select--","--Selecteer Alstublieft--"
"Remove Card","Remove Card"
"Edit Card","Kaart bewerken"
"No saved Cards are available","Geen opgeslagen Kaarten zijn beschikbaar"
"Please enter Card Verification Number","Geef Card Verification Number"
"Please enter state","Geef state"
"Please enter required fields","Geef verplichte velden"
"Credit card saved successfully","Credit card opgeslagen succes"
"Card deleted successfully","Kaart succesvol verwijderd"
"Card does not exists","Card bestaat niet"
"Card information missing","Kaart informatie ontbreekt"
"Card updated successfully","Kaart succesvol bijgewerkt"
